Topic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer
Minimum Stack,Hard,"Consider the push sequence: 10, 5, 15, 5, 2. In the auxiliary stack approach storing (value, count) pairs to handle duplicates, what would the auxiliary stack look like?","(10,1), (5,2), (15,1), (2,1)","(10,1), (5,1), (2,1)","(10,1), (5,2), (2,1)","(5,2), (2,1)",C
Minimum Stack,Hard,"After pushing 10, 5, 15, 5, 2 and then popping twice, what is the minimum value in the stack using the (value, count) approach from question 29?",2,5,10,15,B
The Celebrity problem,Easy,"In the Celebrity Problem, what is the definition of a ""celebrity""?",A person who knows everyone,A person who is known by everyone but knows no one,A person who knows no one,A person who is known by no one,B
The Celebrity problem,Easy,"What kind of data structure is typically used to represent the ""knows"" relationship in the Celebrity Problem?",A linked list,A stack,A 2D matrix (adjacency matrix),A tree,C
The Celebrity problem,Easy,"In the Celebrity Problem, if `knows(i, j)` is true, what does it indicate?",Person i knows person j,Person j knows person i,Both know each other,Neither knows the other,A
The Celebrity problem,Easy,What is the minimum number of celebrities possible in a party of N people according to the problem's definition?,0,1,2,N,A
The Celebrity problem,Easy,What is the maximum number of celebrities possible in a party of N people?,0,1,2,N,B
The Celebrity problem,Easy,Which approach is commonly used to solve the Celebrity Problem in O(N) time?,Brute force checking all pairs,Using a stack or two-pointer elimination technique,Using dynamic programming,Using a hash table,B
The Celebrity problem,Easy,"In the stack-based approach, how many people are initially pushed onto the stack?",0,1,All N people,Only the first person,C
The Celebrity problem,Easy,"In the elimination phase of the stack approach, two people A and B are popped. If A knows B, what does that imply about A?",A could be a celebrity,A cannot be a celebrity,B cannot be a celebrity,Both could be celebrities,B
The Celebrity problem,Easy,"After the elimination phase in the stack approach, how many candidates remain?",0,1,2,N/2,B
The Celebrity problem,Easy,What is the time complexity of the brute force approach to find a celebrity?,O(n),O(n log n),O(n^2),O(1),C
The Celebrity problem,Medium,"After the elimination phase in any O(n) algorithm, why do we need a verification step?",To confirm the candidate is known by everyone,To confirm the candidate knows no one,"To confirm both conditions (known by all, knows none)",To count how many people know the candidate,C
The Celebrity problem,Medium,"In the verification step, if the candidate knows any other person, what is the result?",The candidate is still a celebrity,There is no celebrity,The candidate is not a celebrity,The candidate is a celebrity only if that person also knows them,C
The Celebrity problem,Medium,"Consider a 4x4 matrix where `knows(0,1)=T`, `knows(1,2)=T`, `knows(2,3)=T`, and all others false. Is there a celebrity?","Yes, person 0","Yes, person 3","Yes, person 1",No,D
The Celebrity problem,Medium,"In a party of 3 people, if person 0 knows person 1, person 1 knows person 2, and person 2 knows person 0 (a cycle), how many celebrities exist?",3,2,1,0,D
The Celebrity problem,Medium,What is the space complexity of the stack-based approach for the Celebrity Problem?,O(n),O(n^2),O(log n),O(1),A
The Celebrity problem,Medium,"In the elimination algorithm, why can we safely eliminate a person as a celebrity candidate?","Because if A knows B, A cannot be a celebrity","Because if A knows B, B cannot be a celebrity","Because if A does not know B, A cannot be a celebrity","Because if A does not know B, B cannot be a celebrity",A
The Celebrity problem,Medium,"If there are two people who both satisfy ""known by everyone"" but not ""knows no one"", are they celebrities?","Yes, both are celebrities","Yes, but only one is a celebrity","No, because a celebrity must satisfy both conditions",It depends on the situation,C
The Celebrity problem,Medium,"In the verification step, what two conditions must be checked for the candidate C?","`knows(C, i)` is false for all i, and `knows(i, C)` is true for all i â‰ C","`knows(C, i)` is true for all i, and `knows(i, C)` is false for all i â‰ C","`knows(C, C)` must be true","`knows(i, C)` is false for all i, and `knows(C, i)` is true for all i",A
The Celebrity problem,Hard,"In the optimal O(n) algorithm, how many times is the `knows(A, B)` function called in the worst case?",n,2n,3n,n^2,C
The Celebrity problem,Hard,"If the `knows` relationship is not transitive, can the elimination algorithm still correctly identify a celebrity candidate?","No, it will always fail","Yes, because the elimination is based on pairwise elimination, not transitivity","Yes, but only if the graph is acyclic","No, it requires transitivity",B
The Celebrity problem,Hard,"Consider a scenario where person i knows person j, and person j knows person i. What can we conclude from this mutual relationship?",Both could be celebrities,Neither can be a celebrity,One of them must be a celebrity,This scenario is impossible,B
The Celebrity problem,Hard,"In the elimination algorithm using a stack, if after processing, the stack is empty, what does that indicate?",There is exactly one celebrity,There are multiple celebrities,There is no celebrity,The algorithm has failed,C
The Celebrity problem,Hard,What is the minimum number of `knows` queries required in the best case to determine there is no celebrity?,1,n-1,n,n(n-1)/2,B
The Celebrity problem,Hard,"In a party with N people, if there is a celebrity, how many entries in the `knows` matrix will be true (excluding diagonal)?",N-1,2(N-1),(N-1)^2,N,A
The Celebrity problem,Hard,"If the `knows` matrix is such that for all i â‰ j, `knows(i, j)` is true (complete graph), is there a celebrity?","Yes, everyone is a celebrity","Yes, exactly one person","No, because everyone knows others","No, because no one is known by everyone exclusively",C
The Celebrity problem,Hard,"In a graph theory perspective, what does a celebrity represent?",A node with out-degree 0 and in-degree N-1,A node with in-degree 0 and out-degree N-1,A node with both in-degree and out-degree N-1,A node with degree N-1,A
The Celebrity problem,Hard,"In the two-pointer elimination method, if i and j meet (i == j), what does that indicate?",i is the celebrity candidate,There is no celebrity,The algorithm has failed,We need to restart with different pointers,A
The Celebrity problem,Hard,"Suppose we have an O(n) algorithm that returns a candidate. If the verification step fails, what is the correct conclusion?","The candidate is not a celebrity, and there might be no celebrity",The algorithm has a bug,The candidate is still a celebrity,We should try verifying with a different condition,A
Iterative Tower of Hanoi,Easy,The Tower of Hanoi puzzle consists of three rods and a number of disks of different sizes. What is the fundamental rule?,A larger disk can be placed on a smaller disk,A smaller disk can be placed on a larger disk,Disks can be placed in any order,Disks can be moved directly from any rod to any other regardless of size,B
Iterative Tower of Hanoi,Easy,What is the minimum number of moves required to solve the Tower of Hanoi problem with `n` disks?,n,2^n,2^n - 1,n^2,C
Iterative Tower of Hanoi,Easy,"In the iterative algorithm, what is used to simulate the recursion?",A queue,A stack,A tree,A graph,B
Iterative Tower of Hanoi,Easy,"For an even number of disks, what is the direction of the first move (if pegs are arranged left to right)?",Left to Right,Right to Left,No movement,Depends on disk size,A
Iterative Tower of Hanoi,Easy,"For an odd number of disks, what is the direction of the first move (if pegs are arranged left to right)?",Left to Right,Right to Left,No movement,Depends on disk size,B
Iterative Tower of Hanoi,Easy,"In the iterative Tower of Hanoi, which disk is moved first?",The largest disk,The smallest disk,Any disk,The middle-sized disk,B
Iterative Tower of Hanoi,Easy,What is the time complexity of the iterative Tower of Hanoi algorithm?,O(n),O(2^n),O(n^2),O(n log n),B
Iterative Tower of Hanoi,Easy,How many pegs are used in the classic Tower of Hanoi problem?,2,3,4,n,B
Iterative Tower of Hanoi,Easy,"In the iterative algorithm, after moving the smallest disk, what is the next step?",Move the smallest disk again,Make the only legal move involving a disk other than the smallest,Move the largest disk,Wait for user input,B
Iterative Tower of Hanoi,Easy,The iterative solution for Tower of Hanoi is based on which mathematical concept?,Gray code,Binary search,Fibonacci sequence,Prime numbers,A
Iterative Tower of Hanoi,Medium,"In the iterative algorithm, the movement of the smallest disk follows a pattern. If there are 3 pegs (A, B, C) and an odd number of disks, what is the cyclic order of movement for the smallest disk?","A->B, B->C, C->A","A->C, C->B, B->A","A->B, B->A, A->B","A->C, C->A, A->C",B
Iterative Tower of Hanoi,Medium,"In the iterative algorithm, the movement of the smallest disk follows a pattern. If there are 3 pegs (A, B, C) and an even number of disks, what is the cyclic order of movement for the smallest disk?","A->B, B->C, C->A","A->C, C->B, B->A","A->B, B->A, A->B","A->C, C->A, A->C",A
Iterative Tower of Hanoi,Medium,How many stacks are typically used in the iterative implementation of Tower of Hanoi?,1,2,3,n,C
Iterative Tower of Hanoi,Medium,"In the iterative algorithm, after moving the smallest disk, how do you decide which other disk to move?",Randomly select a disk,Move the disk that can legally be moved to the peg not occupied by the smallest disk,Always move the largest available disk,Move the disk from the source to destination peg,B
Iterative Tower of Hanoi,Medium,What is the maximum number of stacks that need to be checked to find the legal move involving a non-smallest disk in the iterative algorithm?,1,2,3,4,C
Iterative Tower of Hanoi,Medium,"In the iterative algorithm, what indicates that the puzzle is solved?",All disks are on the destination peg,The smallest disk has been moved n times,The largest disk has been moved,The source peg is empty,A
Iterative Tower of Hanoi,Medium,What is the space complexity of the iterative algorithm using stacks?,O(1),O(n),O(2^n),O(n^2),B
Iterative Tower of Hanoi,Medium,How does the iterative algorithm's number of moves compare to the recursive algorithm's number of moves?,Iterative requires more moves,Recursive requires more moves,Both require exactly 2^n - 1 moves,It depends on the implementation,C
Iterative Tower of Hanoi,Medium,"In the iterative algorithm using three stacks, what does each stack represent?",The number of moves,The disks on a particular peg,The recursion depth,The history of moves,B
Iterative Tower of Hanoi,Medium,"If there are 4 disks (even), what is the first move in the iterative algorithm?",Move disk 1 from A to B,Move disk 1 from A to C,Move disk 4 from A to B,Move disk 2 from A to B,A
Iterative Tower of Hanoi,Hard,"In the iterative algorithm based on Gray code, the nth move corresponds to moving which disk?",The disk corresponding to the least significant bit that changes in the binary representation of n,The largest disk,The disk whose size equals the number of trailing zeros in the binary representation of the move number,The smallest disk,C
Iterative Tower of Hanoi,Hard,"For a given move number `m` (starting from 1) in the iterative solution, which disk is moved?",Disk number = m mod 3,Disk number = position of least significant set bit in m,Disk number = m mod n,Disk number = floor(log2(m)) + 1,B
Iterative Tower of Hanoi,Hard,"In the non-recursive algorithm, what is the relationship between the move number and the source and destination pegs?",They are fixed throughout the game,They depend on the disk number and the total number of disks,They are randomly assigned,They depend only on the move number,B
Iterative Tower of Hanoi,Hard,How can you determine the source and destination pegs for moving the smallest disk on move number `k`?,Using the parity of k and the total number of disks,Using the value of k mod n,Using the disk size,Using a random function,A
Iterative Tower of Hanoi,Hard,"If there are 5 disks (odd), on which peg will the smallest disk be after 3 moves?",Peg A,Peg B,Peg C,Cannot be determined,B
Iterative Tower of Hanoi,Hard,What is an advantage of the iterative solution over the recursive solution for Tower of Hanoi?,It uses less memory in terms of call stack,It is easier to understand,It requires fewer moves,It can handle more disks,A
Iterative Tower of Hanoi,Hard,"In the iterative algorithm using three stacks, how do you check if a move is legal before performing it?",Compare the top elements of the source and destination stacks,Check if the destination stack is empty,Check if the source stack is empty,All of the above,D
Iterative Tower of Hanoi,Hard,What is the total number of moves performed on disks other than the smallest in a complete solution with n disks?,2^(n-1) - 1,2^n - 1,2^(n-1),n-1,A
Iterative Tower of Hanoi,Hard,"In the binary representation approach, how many bits change when moving from move number (2^(n-1) - 1) to (2^(n-1))?",1,n,n-1,2,B
Iterative Tower of Hanoi,Hard,"If we modify the iterative algorithm to use 4 pegs instead of 3 (Reve's puzzle), what happens to the optimal solution?",It remains 2^n - 1,It becomes more complex with no simple iterative pattern known,It becomes O(n),It becomes O(n log n),B
Stock Span problem,Easy,What does the stock span of a stock price on a given day represent?,The price of the stock on that day,The number of consecutive days (including current day) the price has been less than or equal to current day's price,The total volume of stocks traded,The difference between current day's price and previous day's price,B
Stock Span problem,Easy,"For the first day of a stock's price history, what is the stock span always equal to?",0,1,The price itself,The total number of days,B
Stock Span problem,Easy,Which data structure is most commonly used to solve the Stock Span problem efficiently?,Queue,Stack,Heap,Tree,B
Stock Span problem,Easy,What is the time complexity of the brute force approach to compute stock spans?,O(n),O(n log n),O(n^2),O(log n),C
Stock Span problem,Easy,What is the time complexity of the efficient stack-based solution for the Stock Span problem?,O(n),O(n^2),O(n log n),O(log n),A
Stock Span problem,Easy,"In the stock span problem, what does the stack typically store?",Stock prices only,Indices of days,Stock prices and indices together,Span values,B
Stock Span problem,Easy,"Given prices: [100, 80, 60, 70, 60, 75, 85]. What is the span for the price 100 (first day)?",0,1,100,2,B
Stock Span problem,Easy,"If today's stock price is higher than yesterday's, the span for today will be:",1,At least 2,Equal to yesterday's span,0,B
Stock Span problem,Easy,The stock span problem is a variation of which classic problem?,Next Greater Element,Previous Greater Element,Next Smaller Element,Previous Smaller or Equal Element,B
Stock Span problem,Easy,"In the efficient algorithm, when do we pop elements from the stack?",When we find a price greater than current price,When we find a price less than or equal to current price,After computing each span,At the end of the algorithm,B
Stock Span problem,Medium,"Given prices: [10, 4, 5, 90, 120, 80]. What is the span for the price 90 (4th day)?",1,2,3,4,D
Stock Span problem,Medium,"Given prices: [10, 4, 5, 90, 120, 80]. What is the span for the price 80 (last day)?",1,2,3,4,A
Stock Span problem,Medium,"In the stack-based algorithm, after processing day i, what does the stack contain?",Indices of days with prices greater than current day's price,Indices of all previous days,Indices of days with prices less than or equal to current day's price,The span values of all previous days,A
Stock Span problem,Medium,What is the space complexity of the efficient stack-based solution?,O(1),O(n),O(log n),O(n^2),B
Stock Span problem,Medium,"If the stock prices are in strictly increasing order, what will be the span values?",All 1's,"1, 2, 3, 4, ... n","1, 1, 1, 1, ...","n, n-1, ... 1",B
Stock Span problem,Medium,"If the stock prices are in strictly decreasing order, what will be the span values?",All 1's,"1, 2, 3, 4, ... n","n, n-1, ... 1",All n's,A
Stock Span problem,Medium,"In the efficient algorithm, how is the span for day i calculated when the stack's top has index j?",i - j,i - j + 1,i - j - 1,j - i,A
Stock Span problem,Medium,"Given prices: [7, 6, 5, 4, 3, 8]. What is the span for the price 8 (last day)?",1,5,6,4,C
Stock Span problem,Medium,What does an empty stack indicate when computing span for day i?,This is the first day,All previous prices are greater than current price,All previous prices are less than or equal to current price,An error has occurred,C
Stock Span problem,Medium,"In the stock span problem, if we use a stack that stores prices instead of indices, what additional information would we need?",The day number for each price,The span value for each price,The next greater element,"Nothing, it works the same",A
Stock Span problem,Hard,"In the stack-based algorithm, what invariant is maintained regarding the stack?",The stack contains indices of days with prices in strictly increasing order,The stack contains indices of days with prices in strictly decreasing order,The stack contains indices of days with prices in any order,The stack contains indices of days with prices equal to current price,B
Stock Span problem,Hard,"Given prices: [100, 80, 60, 70, 60, 75, 85]. After processing the price 75 (6th day), what indices are in the stack?","[0, 1, 5]","[0, 5]","[0, 1, 2, 5]",[5],A
Stock Span problem,Hard,How would you modify the algorithm to compute the span for each day using only a single traversal and O(1) extra space (excluding output array)?,It's impossible,Use two pointers,Use the input array itself as a stack,This is not possible; O(n) space is needed for indices,D
Stock Span problem,Hard,"If the stock prices are constant (all days same price), what will be the span for day i?",1,i,i+1,n,B
Stock Span problem,Hard,What is the maximum number of times an index can be pushed and popped from the stack in the entire algorithm?,Once each,"Twice each (once push, once pop)",n times,It depends on the prices,B
Stock Span problem,Hard,"In the context of the stock span problem, what does the term ""consecutive"" imply when there are equal stock prices?",Equal prices break the consecutiveness,Equal prices are included in the count,Equal prices are ignored,Equal prices are counted only if they are exactly the same day,B
Stock Span problem,Hard,How can the stock span problem be solved using a dynamic programming approach?,span[i] = 1 + span[i-1] if price[i] >= price[i-1],span[i] = 1 + span[i-1] if price[i] < price[i-1],By using a recursive function with memoization,Dynamic programming cannot solve this problem efficiently,A
Stock Span problem,Hard,"In the DP approach, if price[i] >= price[i-1], what additional step is needed beyond adding span[i-1]?",We must also check previous days beyond i-1 using a while loop,"Nothing, it's complete",We must reset the count to 1,We must subtract 1 from the result,A
Stock Span problem,Hard,"Given the stack-based algorithm is essentially finding the ""previous greater element"" index, what is the formula for span once that index (pge) is found?",i - pge,i - pge + 1,pge - i,pge - i + 1,A
Stock Span problem,Hard,"If the input prices are given in an array and we want to output the spans, what is the best possible worst-case time complexity?",O(n),O(n log n),O(n^2),O(log n),A
Priority Queue using DLL,Easy,What is a Priority Queue?,A queue where elements are processed in FIFO order,A queue where each element has a priority and higher priority elements are processed first,A queue that only stores priority values,A stack with priority,B
Priority Queue using DLL,Easy,"In a Priority Queue implemented using a Doubly Linked List (DLL), what does each node typically contain?",Data and a priority value,Only data,Only priority,"Data, priority, and two pointers",D
Priority Queue using DLL,Easy,What is an advantage of using a DLL over a Singly Linked List for a Priority Queue?,Easier deletion from the end,Easier deletion from the beginning,Easier deletion from any position (especially from the end),Less memory usage,C
Priority Queue using DLL,Easy,"If we maintain a DLL in sorted order based on priority, where is the highest priority element typically located?",At the head,At the tail,In the middle,Random location,A
Priority Queue using DLL,Easy,What is the time complexity of inserting an element into a sorted DLL-based Priority Queue in the worst case?,O(1),O(n),O(log n),O(n log n),B
Priority Queue using DLL,Easy,What is the time complexity of deleting the highest priority element from a sorted DLL-based Priority Queue?,O(1),O(n),O(log n),O(n log n),A
Priority Queue using DLL,Easy,What is the time complexity of peeking (viewing) the highest priority element in a sorted DLL-based Priority Queue?,O(1),O(n),O(log n),O(n log n),A
Priority Queue using DLL,Easy,"In an unsorted DLL-based Priority Queue, where would you find the highest priority element?",At the head,At the tail,You need to traverse the entire list to find it,At a fixed position,C
Priority Queue using DLL,Easy,What is the time complexity of inserting an element into an unsorted DLL-based Priority Queue?,O(1),O(n),O(log n),O(n log n),A
Priority Queue using DLL,Easy,What is the time complexity of deleting the highest priority element from an unsorted DLL-based Priority Queue?,O(1),O(n),O(log n),O(n log n),B
Priority Queue using DLL,Medium,"In a sorted DLL-based Priority Queue (ascending order with highest priority at tail), what is the time complexity of deletion?","O(1) at head, O(n) at tail","O(1) at tail, O(n) at head",O(1) at both ends,O(n) at both ends,B
Priority Queue using DLL,Medium,Which approach for a DLL-based Priority Queue is better if insertions are frequent and deletions are infrequent?,"Sorted order (insert O(n), delete O(1))","Unsorted order (insert O(1), delete O(n))",Both are equally good,It depends on the priority values,B
Priority Queue using DLL,Medium,Which approach for a DLL-based Priority Queue is better if deletions are frequent and insertions are infrequent?,"Sorted order (insert O(n), delete O(1))","Unsorted order (insert O(1), delete O(n))",Both are equally good,It depends on the priority values,A
Priority Queue using DLL,Medium,"In a sorted DLL, after inserting a new node(new Node prev is null), how many pointers need to be updated in the best case (insertion at beginning)?",2,4,6,1,A
Priority Queue using DLL,Medium,"In a sorted DLL, after inserting a new node in the middle, how many pointers need to be updated?",2,4,6,8,B
Priority Queue using DLL,Medium,What additional pointer does a DLL have compared to a Singly Linked List that makes deletion more flexible?,next,prev,random,child,B
Priority Queue using DLL,Medium,"In an unsorted DLL-based Priority Queue, to delete the highest priority element, what is required?","Traverse the list once to find the max, then delete it",Traverse the list twice,Delete the head node,Delete the tail node,A
Priority Queue using DLL,Medium,What is the space complexity of a Priority Queue implemented using a DLL with n elements?,O(1),O(n),O(log n),O(n log n),B
Priority Queue using DLL,Medium,"If two elements have the same priority in a Priority Queue, and FIFO order is desired among them, which DLL structure is more suitable?",Sorted DLL with insertion at the end of same-priority group,Unsorted DLL,Any DLL will maintain FIFO naturally,Priority Queues cannot handle duplicates,A
Priority Queue using DLL,Medium,"In a sorted DLL-based Priority Queue, what happens if you insert an element with a priority higher than the current head?",It becomes the new head,It becomes the new tail,It is inserted in the middle,The insertion fails,A
Priority Queue using DLL,Hard,How would you implement a Priority Queue that supports both `getHighestPriority()` and `getLowestPriority()` in O(1) time using a DLL?,Use a sorted DLL and maintain both head and tail pointers,Use two separate DLLs,Use an unsorted DLL and cache both min and max,This is impossible,A
Priority Queue using DLL,Hard,"In a sorted DLL-based Priority Queue, what is the worst-case number of comparisons required to find the correct insertion position?",n,n/2,log n,1,A
Priority Queue using DLL,Hard,Consider a DLL-based Priority Queue where you need to increase the priority of a given node. What is the time complexity of this operation if the list is sorted?,O(1),O(n),O(log n),O(n log n),B
Priority Queue using DLL,Hard,Consider a DLL-based Priority Queue where you need to increase the priority of a given node. What is the time complexity if the list is unsorted?,O(1),O(n),O(log n),O(n log n),A
Priority Queue using DLL,Hard,How does a DLL-based Priority Queue compare to a Binary Heap implementation in terms of memory overhead per element?,DLL has higher overhead (two pointers vs array index),Heap has higher overhead,Both have the same overhead,It depends on the programming language,A
Priority Queue using DLL,Hard,What is the primary disadvantage of using a sorted DLL for a Priority Queue compared to a Binary Heap?,O(n) insertion vs O(log n) in heap,O(n) deletion vs O(log n) in heap,O(n) peek vs O(1) in heap,Higher memory usage,A
Priority Queue using DLL,Hard,"In a DLL-based Priority Queue, if you want to merge two Priority Queues quickly, which structure is more efficient?",Sorted DLL (can merge in O(n+m)),Unsorted DLL (can merge in O(1) by concatenating),Both are equally efficient,Neither can be merged,B
Priority Queue using DLL,Hard,What is the time complexity to merge two sorted DLL-based Priority Queues into one sorted DLL?,O(1),O(n + m),O(n log m),O(n * m),B
Priority Queue using DLL,Hard,"In a real-time system where predictable response time is critical, which DLL-based Priority Queue implementation would be preferred?","Sorted, because deletion (high priority) is O(1) and predictable","Unsorted, because insertion is O(1) and predictable",Both have unpredictable operations,Neither is suitable for real-time systems,A
Priority Queue using DLL,Hard,"If you implement a Priority Queue using a DLL and also maintain a pointer to the highest priority node, what is the time complexity of deleting the highest priority node?",O(1),O(n),O(log n),O(n log n),A
Sort without extra Space,Easy,"What does ""sorting without extra space"" typically mean in algorithm analysis?",Sorting without using any memory,Sorting using O(1) or constant auxiliary space (in-place sorting),Sorting without using comparisons,Sorting without using temporary variables,B
Sort without extra Space,Easy,Which of the following sorting algorithms is an example of an in-place sorting algorithm?,Merge Sort,Bubble Sort,Counting Sort,Radix Sort,B
Sort without extra Space,Easy,What is the space complexity of Bubble Sort (excluding input array)?,O(n),O(log n),O(1),O(n log n),C
Sort without extra Space,Easy,Which sorting algorithm is NOT typically in-place?,Quick Sort,Insertion Sort,Merge Sort,Selection Sort,C
Sort without extra Space,Easy,Why is standard Merge Sort not considered in-place?,It has O(n^2) time complexity,It requires O(n) auxiliary space for merging,It is recursive,It is unstable,B
Sort without extra Space,Easy,What is the space complexity of Selection Sort?,O(1),O(n),O(log n),O(n^2),A
Sort without extra Space,Easy,In-place sorting algorithms modify which of the following?,The input array itself,A copy of the input array,A new array created for output,A linked list representation,A
Sort without extra Space,Easy,Which of the following is an in-place sorting algorithm that works by repeatedly swapping adjacent elements if they are in wrong order?,Quick Sort,Merge Sort,Bubble Sort,Heap Sort,C
Sort without extra Space,Easy,What is the space complexity of Insertion Sort?,O(1),O(n),O(log n),O(n log n),A
Sort without extra Space,Easy,Heap Sort is considered in-place because it uses:,O(1) auxiliary space,O(log n) auxiliary space,O(n) auxiliary space,O(n log n) auxiliary space,A
Sort without extra Space,Medium,Quick Sort's in-place implementation uses recursion. What contributes to its auxiliary space?,The input array,The recursion stack,Temporary arrays for merging,The pivot element,B
Sort without extra Space,Medium,What is the worst-case space complexity of a properly implemented in-place Quick Sort (considering stack space)?,O(1),O(log n),O(n),O(n log n),C
Sort without extra Space,Medium,What is the best-case space complexity of a properly implemented in-place Quick Sort (considering stack space)?,O(1),O(log n),O(n),O(n log n),B
Sort without extra Space,Medium,Which of the following is an in-place sorting algorithm that uses a binary heap data structure?,Heap Sort,Merge Sort,Counting Sort,Radix Sort,A
Sort without extra Space,Medium,What is a common technique to make Merge Sort in-place?,Using linked lists instead of arrays,Using a complex rotation-based merging algorithm,Using extra memory for the merge step,It cannot be made in-place,B
Sort without extra Space,Medium,"The ""in-place"" property is most important when:",Sorting small arrays,Memory is limited or expensive,Sorting needs to be stable,Sorting needs to be parallelized,B
Sort without extra Space,Medium,Which sorting algorithm can be implemented as in-place but its standard implementation often uses O(n) extra space for stability?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C
Sort without extra Space,Medium,"What is the space complexity of Cycle Sort, an in-place sorting algorithm?",O(1),O(n),O(log n),O(n^2),A
Sort without extra Space,Medium,Which of the following statements is true about in-place sorting algorithms?,They always have O(n log n) time complexity,"They never use any extra memory, even for variables",They use only O(1) extra space (excluding recursion stack),They cannot be stable,C
Sort without extra Space,Medium,"Shell Sort, an extension of Insertion Sort, has what space complexity?",O(1),O(n),O(log n),O(n log n),A
Sort without extra Space,Hard,How can Quick Sort be modified to guarantee O(log n) space complexity in the worst case?,Always pick the first element as pivot,Use tail recursion optimization on the larger partition,Use Iterative Quick Sort,Use a random pivot,B
Sort without extra Space,Hard,"What is the main challenge in implementing an in-place, stable Merge Sort?",Recursion depth,Maintaining stability while merging in O(1) space,Handling duplicate values,Time complexity becomes O(n^3),B
Sort without extra Space,Hard,"Block sort (e.g., WikiSort, GrailSort) is notable for being:","An in-place, unstable sorting algorithm","An in-place, stable sorting algorithm with O(n log n) time",A non-comparison based sorting algorithm,An algorithm with O(n) time complexity,B
Sort without extra Space,Hard,"In an in-place sorting context, what does ""stability"" typically force a trade-off with?",Time complexity,Space complexity,Both time and space,Readability,B
Sort without extra Space,Hard,"Which of the following sorts is in-place, non-recursive, and has a worst-case space complexity of O(1)?",Recursive Quick Sort,Merge Sort,Iterative Heap Sort,Bubble Sort,C
Sort without extra Space,Hard,"What is the space complexity of the ""Dutch National Flag"" algorithm (3-way partitioning)?",O(1),O(n),O(3),O(log n),A
Sort without extra Space,Hard,"For sorting a linked list, why is ""in-place"" defined differently than for arrays?",Linked lists can be sorted by rearranging links without extra node allocation,Linked lists cannot be sorted in-place,Linked lists always require extra space,In-place means something else for linked lists,A
Sort without extra Space,Hard,What is the minimum number of extra variables (space) required to implement Bubble Sort?,0,1,2,n,B
Sort without extra Space,Hard,"In the context of sorting without extra space, what does ""O(1) auxiliary space"" exclude?",The input array itself,Loop counters and temporary swap variables,Recursion stack space,Both A and C,D
Sort without extra Space,Hard,"Which sorting algorithm is in-place, comparison-based, and has a best-case time complexity of O(n)?",Heap Sort,Quick Sort,Insertion Sort,Selection Sort,C
Stack permutations,Easy,What is a stack permutation?,Sorting a stack using another stack,A permutation of input that can be produced by passing it through a stack,The order of elements in a stack after multiple pushes,Reversing a stack,B
Stack permutations,Easy,"In the context of stack permutations, what operations are allowed on the stack?",Only push,Only pop,Both push and pop,Neither push nor pop,C
Stack permutations,Easy,"Given an input sequence [1,2,3] and a stack, which of the following output sequences is NOT possible?","1,2,3","3,2,1","2,1,3","3,1,2",D
Stack permutations,Easy,What data structure is used to simulate stack permutations?,Queue,Stack,Array,Linked List,B
Stack permutations,Easy,"In stack permutation, what is the initial state of the stack?",Full,Empty,Contains input elements,Contains output elements,B
Stack permutations,Easy,"If the input sequence is [1,2,3,4] and the output is [1,2,3,4], what push/pop pattern occurred?","Push all, then pop all","Push 1, pop 1, push 2, pop 2, push 3, pop 3, push 4, pop 4","Push 1, push 2, pop 2, pop 1, ...","Push 4, pop 4, push 3, pop 3, ...",B
Stack permutations,Easy,"Which of the following output sequences is possible from input [1,2]?","2,1 only","1,2 only","Both 1,2 and 2,1","Neither 1,2 nor 2,1",C
Stack permutations,Easy,What is the time complexity to check if a given permutation is a valid stack permutation?,O(n),O(n^2),O(log n),O(n log n),A
Stack permutations,Easy,What is the space complexity of the algorithm to check stack permutations (excluding input)?,O(1),O(n),O(log n),O(n^2),B
Stack permutations,Easy,"In stack permutation simulation, what do we do when the top of stack matches the next output element?",Push next input,Pop from stack,Push and then pop,Ignore,B
Stack permutations,Medium,"In the simulation algorithm, if we have processed all input but the stack is not empty, and the stack's top does not match the next output, what does this indicate?",The permutation is valid,The permutation is invalid,We need to push more input,The stack is too small,B
Stack permutations,Medium,"How many distinct stack permutations are possible for input sequence [1,2,3]?",3,4,5,6,C
Stack permutations,Medium,"How many distinct stack permutations are possible for input sequence [1,2,3,4]?",10,12,14,16,C
Stack permutations,Medium,The number of stack permutations for n elements is given by which number sequence?,Fibonacci numbers,Catalan numbers,Prime numbers,Factorial numbers,B
Stack permutations,Medium,What is the Catalan number for n=4?,5,10,14,42,C
Stack permutations,Medium,"In the stack permutation simulation, what does it mean when we cannot push more input (input exhausted) and the stack's top doesn't match the next output?",The permutation is valid,The permutation is invalid,We need to pop anyway,The simulation is incomplete,B
Stack permutations,Medium,Which of the following patterns in a permutation indicates it is NOT a valid stack permutation?,"1,3,2","2,1,3","3,1,2","2,3,1",C
Stack permutations,Medium,The pattern that makes a permutation invalid for stack permutation is known as:,1-3-2 pattern,2-3-1 pattern,3-1-2 pattern,1-2-3 pattern,C
Stack permutations,Medium,What is the maximum size of the stack needed to generate a valid stack permutation?,n,n-1,n/2,Depends on the permutation,A
